provincia;prefijo
Álava;945
Albacete;967
Alicante;965
Almería;950
Asturias;984
Ávila;920
Badajoz;924
Baleares;971
Barcelona;93
Burgos;947
Cáceres;927
Cádiz;956
Cantabria;942
Castellón;964
Ciudad Real;926
Córdoba;957
A Coruña;981
Cuenca;969
Gerona;972
Granada;958
Guadalajara;949
Guipúzcoa;943
Huelva;959
Huesca;974
Jaén;953
León;987
Lérida;973
Lugo;982
Madrid;91
Málaga;951
Melilla;952
Murcia;968
Navarra;948
Orense;988
Palencia;979
Las Palmas;928
Pontevedra;986
La Rioja;941
Salamanca;923
Segovia;921
Sevilla;954
Soria;975
Tarragona;977
Santa Cruz de Tenerife;922
Teruel;978
Toledo;925
Valencia;960
Valladolid;983
Vizcaya;944
Zamora;980
Zaragoza;976
